gene_symbol,TCGA-91-6849-11A-01R-1949-07,TCGA-55-6982-11A-01R-1949-07,TCGA-73-4676-11A-01R-1755-07,TCGA-55-6980-11A-01R-1949-07,TCGA-50-5931-11A-01R-1858-07,TCGA-91-6828-11A-01R-1858-07,TCGA-49-6743-11A-01R-1858-07,TCGA-44-6147-11A-01R-1858-07,TCGA-44-2665-11A-01R-1758-07,TCGA-44-2657-11A-01R-1758-07,TCGA-38-4627-11A-01R-1758-07,TCGA-55-6970-11A-01R-1949-07,TCGA-50-5939-11A-01R-1628-07,TCGA-44-6778-11A-01R-1858-07,TCGA-38-4625-11A-01R-1758-07,TCGA-44-2668-11A-01R-1758-07,TCGA-38-4632-11A-01R-1755-07,TCGA-50-5933-11A-01R-1755-07,TCGA-55-6972-11A-01R-1949-07,TCGA-55-6985-11A-01R-1949-07,TCGA-49-6761-11A-01R-1949-07,TCGA-55-6984-11A-01R-1949-07,TCGA-44-6776-11A-01R-1858-07,TCGA-55-6975-11A-01R-1949-07,TCGA-55-6981-11A-01R-1949-07,TCGA-50-5935-11A-01R-1858-07,TCGA-44-2655-11A-01R-1758-07,TCGA-55-6979-11A-01R-1949-07,TCGA-44-2662-11A-01R-1758-07,TCGA-49-6744-11A-01R-1858-07,TCGA-49-6745-11A-01R-1858-07,TCGA-44-3396-11A-01R-1758-07,TCGA-44-6146-11A-01R-1858-07,TCGA-50-5930-11A-01R-1755-07,TCGA-44-2661-11A-01R-1758-07,TCGA-50-5936-11A-01R-1628-07,TCGA-44-5645-11A-01R-1628-07,TCGA-55-6971-11A-01R-1949-07,TCGA-44-3398-11B-01R-1758-07,TCGA-44-6144-11A-01R-1755-07,TCGA-44-6145-11A-01R-1858-07,TCGA-91-6829-11A-01R-1858-07,TCGA-91-6836-11A-01R-1858-07,TCGA-49-6742-11A-01R-1858-07,TCGA-55-6969-11A-01R-1949-07,TCGA-55-6986-11A-01R-1949-07,TCGA-38-4626-11A-01R-1758-07,TCGA-91-6847-11A-01R-1949-07,TCGA-49-4490-11A-01R-1858-07,TCGA-49-4512-11A-01R-1858-07,TCGA-91-6835-11A-01R-1858-07,TCGA-50-6595-11A-01R-1858-07,TCGA-55-6978-11A-01R-1949-07,TCGA-55-6983-11A-01R-1949-07,TCGA-91-6831-11A-02R-1858-07,TCGA-44-6777-11A-01R-1858-07,TCGA-55-6968-11A-01R-1949-07,TCGA-50-5932-11A-01R-1755-07,TCGA-44-6148-11A-01R-1858-07,TCGA-55-8513-01A-11R-2403-07,TCGA-97-8177-01A-11R-2287-07,TCGA-53-7626-01A-12R-2066-07,TCGA-91-8497-01A-11R-2403-07,TCGA-44-3919-01A-02R-1107-07,TCGA-99-7458-01A-11R-2039-07,TCGA-44-6146-01A-11R-A278-07,TCGA-55-8208-01A-11R-2241-07,TCGA-75-7030-01A-11R-1949-07,TCGA-86-8671-01A-11R-2403-07,TCGA-55-8087-01A-11R-2241-07,TCGA-S2-AA1A-01A-12R-A39D-07,TCGA-97-8174-01A-11R-2287-07,TCGA-97-7552-01A-11R-2039-07,TCGA-93-A4JP-01A-11R-A24X-07,TCGA-86-A4P7-01A-11R-A24X-07,TCGA-MP-A4TJ-01A-51R-A262-07,TCGA-86-8668-01A-11R-2403-07,TCGA-55-7284-01B-11R-2241-07,TCGA-55-8206-01A-11R-2241-07,TCGA-93-A4JN-01A-11R-A24X-07,TCGA-05-5429-01A-01R-1628-07,TCGA-93-7348-01A-21R-2039-07,TCGA-55-8097-01A-11R-2241-07,TCGA-69-8254-01A-11R-2287-07,TCGA-05-4433-01A-22R-1858-07,TCGA-69-7761-01A-11R-2170-07,TCGA-97-A4M1-01A-11R-A24X-07,TCGA-86-8056-01A-11R-2241-07,TCGA-55-8619-01A-11R-2403-07,TCGA-55-8299-01A-11R-2287-07,TCGA-55-8207-01A-11R-2241-07,TCGA-55-A57B-01A-12R-A39D-07,TCGA-97-8172-01A-11R-2287-07,TCGA-55-7728-01A-11R-2187-07,TCGA-NJ-A55A-01A-11R-A262-07,TCGA-55-6987-01A-11R-1949-07,TCGA-86-8076-01A-31R-2241-07,TCGA-38-A44F-01A-11R-A24H-07,TCGA-05-4249-01A-01R-1107-07,TCGA-86-A4P8-01A-11R-A24X-07,TCGA-75-7025-01A-12R-1949-07,TCGA-69-8453-01A-12R-2326-07,TCGA-55-8204-01A-11R-2241-07,TCGA-44-2657-01A-01R-1107-07,TCGA-67-4679-01B-01R-1755-07,TCGA-44-2661-01A-01R-1107-07,TCGA-55-A48X-01A-11R-A24H-07,TCGA-55-8512-01A-11R-2403-07,TCGA-93-7347-01A-11R-2187-07,TCGA-55-6971-01A-11R-1949-07,TCGA-64-1681-01A-11R-2066-07,TCGA-MP-A4TH-01A-31R-A262-07,TCGA-50-5942-01A-21R-1755-07,TCGA-L4-A4E6-01A-11R-A24H-07,TCGA-44-2666-01A-01R-0946-07,TCGA-05-4403-01A-01R-1206-07,TCGA-97-7553-01A-21R-2039-07,TCGA-55-6984-01A-11R-1949-07,TCGA-50-8459-01A-11R-2326-07,TCGA-97-7546-01A-11R-2039-07,TCGA-55-6983-01A-11R-1949-07,TCGA-97-7547-01A-11R-2039-07,TCGA-73-7498-01A-12R-2187-07,TCGA-55-7573-01A-11R-2039-07,TCGA-93-A4JO-01A-21R-A24X-07,TCGA-69-7974-01A-11R-2187-07,TCGA-99-AA5R-01A-11R-A39D-07,TCGA-50-8457-01A-11R-2326-07,TCGA-44-7659-01A-11R-2066-07,TCGA-44-5645-01A-01R-1628-07,TCGA-44-6146-01A-11R-1755-07,TCGA-55-7574-01A-11R-2039-07,TCGA-44-6147-01A-11R-1755-07,TCGA-97-8552-01A-11R-2403-07,TCGA-J2-A4AE-01A-21R-A24H-07,TCGA-97-A4M5-01A-11R-A24X-07,TCGA-44-6148-01A-11R-1755-07,TCGA-55-6985-01A-11R-1949-07,TCGA-86-8280-01A-11R-2287-07,TCGA-55-8621-01A-11R-2403-07,TCGA-91-6835-01A-11R-1858-07,TCGA-97-7941-01A-11R-2187-07,TCGA-49-AARR-01A-11R-A41B-07,TCGA-97-A4M7-01A-11R-A24X-07,TCGA-38-4626-01A-01R-1206-07,TCGA-55-7816-01A-11R-2170-07,TCGA-78-7540-01A-11R-2066-07,TCGA-97-A4M2-01A-12R-A24X-07
subtype,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor
A1CF,4.5907759314,3.7753563044,3.7753563044,3.7753563044,3.7753563044,4.4124288078,3.7753563044,4.3762450764,4.1155751007,4.4790908007,4.7837551138,4.2541272139,4.2351034783,3.7753563044,4.4587301487,4.1427051231,3.7753563044,4.5299574399,3.7753563044,4.2552875789,3.7753563044,4.2474658692,3.7753563044,4.3040951538,4.4874389691,4.6000713438,4.7498343537,3.7753563044,3.7753563044,3.7753563044,4.2271682555,4.0841161596,3.7753563044,4.2800036145,4.3086260749,3.7753563044,3.7753563044,4.2198239995,4.4271987012,4.4001698405,4.2407971403,3.7753563044,3.7753563044,3.7753563044,4.2584248633,4.3357102336,4.1165504915,4.7402675657,3.7753563044,3.7753563044,4.3859546053,4.2417555072,4.5935792934,4.5065414264,4.3706112556,4.2721643754,3.7753563044,4.4870314011,4.5562209928,7.4005194804,4.4599243266,4.0672601702,7.2011535236,3.7753563044,4.5247993674,5.2753323897,4.1132409232,7.5643515434,4.4527314474,4.4008877753,4.8861296313,4.6090899183,8.760833997,4.1044273082,4.13200434,4.2301781394,3.7753563044,10.3396948497,4.3552022607,4.2381952305,9.1027463017,3.7753563044,4.3531876028,5.6051115873,6.8393364262,8.2130258111,4.3992051859,4.1731031055,4.5982256888,4.5636830325,4.0977653008,4.536764339,4.4261901598,9.3315110022,4.2672214116,4.9956931822,4.5171175596,7.3140872319,4.3169909327,4.5526531587,4.2177270255,4.6269021494,4.1261411439,3.7753563044,4.5984298395,4.1356820441,4.2933322573,4.933000615,4.4558639697,3.7753563044,4.2451283517,4.407423352,4.3861438021,3.7753563044,4.4881512139,5.1542378903,4.4623061838,4.7784110544,6.1625683636,4.4098167617,4.0853586571,4.1436242882,4.2656697515,4.7106775656,4.1433548324,4.0786831843,3.7753563044,4.3918627358,3.7753563044,4.4816793609,5.2923826923,4.8084121705,4.1559556337,4.5824656148,4.661287011,4.7751868594,4.8641280375,3.7753563044,4.537798483,4.9057095442,4.2843995766,6.8051006282,4.7141445861,4.9556455038,4.3073187712,4.3601290099,9.7797850808,4.3895811834
A4GNT,4.5907759314,5.229495053,5.2364294488,4.5104870013,4.9597933289,4.5525312174,4.5779802485,4.619215945,4.599403358,4.585358272,4.9987007066,4.5972622473,4.6836698507,5.0178398101,5.0674877478,4.5882000122,4.3105936118,4.3937871797,4.9474198796,5.3335491812,4.5296544747,4.9935112149,4.9027624409,4.9329740778,5.0765514622,4.2557924616,4.8389989263,5.3649231538,4.9884005878,5.024318894,4.8608094806,4.7357721967,5.1725889871,5.0731430007,4.759508538,5.0499785238,5.0664386365,5.1970928471,5.1206423984,5.0675406124,5.0551603909,5.8137939574,5.5184933004,5.5756679307,5.1757162018,4.609512621,4.9290563185,5.2628426916,4.806750996,5.3476371824,4.8977085926,4.8945049929,4.9179709129,5.1954043357,4.6114098521,4.8656203255,5.568079862,4.7721095164,4.866967772,7.630901065,4.6871884554,4.5399980978,4.7268783206,4.0744649274,4.6882802828,6.7629242231,4.4466001188,8.5083136888,4.4527314474,4.4008877753,12.7129977177,4.5625887032,6.4294739798,5.5306203596,4.9787757884,4.6741650643,4.5757393913,9.4496226834,5.660535533,5.2203976568,8.269270968,4.4816572489,4.3531876028,4.7255063839,6.8587619175,5.4113907097,4.781536272,4.8087942922,5.7118457368,4.2776235058,4.6745405005,5.3060054433,4.5691858646,8.5910903973,4.7454767605,4.7812313124,4.8134194648,5.7257467964,4.5964571957,4.4722364713,4.5357383677,7.7684449143,3.7753563044,4.375212878,4.1910574238,4.7144984515,4.4080745808,4.8021075369,4.1179676049,4.454274767,4.2451283517,4.5033086572,3.7753563044,5.2209103756,4.3297012938,4.4371956509,5.4766986872,6.9749954397,5.8774390031,4.9659915439,4.7847803839,4.4098230882,4.4655066741,4.6147705648,4.5896082683,4.4487365951,4.9765859704,4.1330937116,4.2441260348,4.3539581565,6.7202231461,4.8084121705,4.4308345475,5.7114409093,5.120269819,4.3602171388,10.1895318938,3.7753563044,4.2189437202,4.1607058189,4.2843995766,4.7872441835,5.0291925402,5.1855670751,4.6491071267,4.1145094526,4.7237925914,5.4330837064
ABCA12,5.0798324358,5.1667117179,4.6932463454,4.2979522649,4.6242986098,5.9628320337,4.2427045633,5.0202812792,4.5292651423,6.3092601994,4.6988978678,4.7203153787,4.4228437472,4.3750123484,4.7331656515,4.9106364213,4.6922320605,4.831020447,4.615201899,6.0922062616,4.6941322994,4.9935112149,5.1400880296,5.0371539915,5.0765514622,5.0139607609,4.8389989263,5.6493363484,4.6453568627,5.2243796711,4.6683532617,4.7808761921,4.4537948383,4.6408565834,4.759508538,4.7947871043,4.6245245362,4.8438009534,4.8411321993,4.4001698405,5.2594449064,6.5725564693,4.8561599179,6.3893787704,4.9328658661,5.108627073,4.6017140972,4.8494042864,4.435864171,7.0221869098,6.7352261542,4.5081120597,4.9179709129,6.0818461963,4.6114098521,5.6399170539,4.8530427982,5.1594834552,5.5895838161,8.5491510841,7.5289891774,9.445078361,7.8084151495,9.3023290232,8.4995762936,9.1983072976,9.6982147584,6.2230030887,8.9342692411,5.2311131885,5.61909052,6.4047612176,7.2102499515,10.4478195039,7.9234507772,5.0986054812,6.5634971394,6.8184163216,5.0398136939,9.5750363211,7.923631949,8.3679326067,5.4891579276,11.5453802296,8.8409173384,9.3293660195,5.856927366,12.523441321,6.5730542078,9.0057319868,6.7741308993,7.7839936436,5.7856490883,8.1142185345,8.2363828786,8.5378689215,8.7955274537,7.5655753151,8.5386685862,4.7517610854,7.4175513732,7.7619059012,8.9242882601,7.9656605726,7.3128633462,6.8570092893,9.2643273107,8.3184379327,9.4918105749,8.49365446,7.227894064,5.969765209,6.5333015573,7.051613576,10.0387773486,6.600043789,7.4900826529,7.959047788,5.8774390031,7.228143415,8.5470799211,8.3426919732,5.8637563825,5.5220742416,8.6292318118,10.6775719759,7.3029388212,5.5290072023,7.0491388637,7.7263353994,8.9680861369,7.5736924079,7.2725308941,6.4208424188,9.4100332694,9.9926933031,7.4213426984,10.0645608158,7.7174236571,6.8098691694,9.6118700834,10.6156865277,5.9638676271,8.6038793387,6.2976407101,6.8893597287,9.4676088197,6.330739606
ABCA4,6.6048338236,6.2168259878,5.9682352002,6.1701174496,6.0994898711,6.7044110574,6.569681921,6.7160295227,6.650941615,6.5729488999,7.5439053755,6.6225467151,6.3428734809,6.3701095049,6.0086152129,7.6280008192,6.4298836366,6.4132090069,6.3057458801,7.1131005383,6.2966198995,6.2615914377,6.7908074974,6.4983730595,6.5989961536,7.1553015428,6.4184644734,6.0763850766,6.5731182809,7.1645373868,6.1734666856,6.8068715176,6.1820999218,6.3070642599,6.6886076244,6.7971980467,6.0115749054,7.8917864869,6.8938958471,6.3186712905,7.4932043624,7.8144653125,5.8571358159,7.7330115232,7.288658247,6.8935416899,6.4652824991,6.5994398667,6.3046074676,7.0221869098,7.1858584697,5.915748649,6.6124979903,6.8299815636,6.2661221256,7.4557095206,7.9324506915,5.6696992202,6.6119151116,7.2096676823,8.0349111561,12.6935141505,6.3334239299,11.1867302376,10.7657171902,5.7622612257,11.216674746,6.333275888,7.1272164272,6.4770635427,6.2253109898,6.5518723293,6.2877407597,8.2326501498,11.3762392765,6.8448480055,11.7158610747,5.8609047953,11.0537130382,7.1777268074,5.4734672922,9.3138439192,9.4568538222,7.0798840035,6.1745634943,4.9314792327,10.0669291076,7.7625318839,6.6754029623,7.7031010028,12.1579371621,12.8620652611,7.0626953614,6.4003182339,12.5823073901,6.9064148559,7.2755785945,6.3040312867,7.1356148699,6.5768080329,8.5291479516,6.6886800645,7.479480051,7.5303904486,9.6661443042,12.04328985,10.0428431926,7.6366780145,11.4907872816,6.9259381886,11.1347797142,6.5110373019,13.0342806526,7.1534057238,5.5174541079,5.9372720412,7.8982295223,5.627321829,6.5283388044,11.4659970122,6.5233691118,9.6218171494,8.0991757673,11.4381444919,11.2550709286,10.9529752783,6.756160129,8.1453599739,11.7166726863,10.8549079897,5.9965000193,7.08637442,10.7049522714,10.9434285638,8.4367733354,6.4908790496,6.6152154799,9.4678626207,11.3103780713,7.8205085281,12.2626978553,5.9541368249,7.4298958466,13.0154826031,8.2232054278,7.8804998973,6.4091653551,6.3913830892
ABCC12,4.8192077299,4.8689775083,4.3111986069,4.9200517237,4.6242986098,3.7753563044,4.8030850111,4.2017728137,3.7753563044,5.4656440916,4.1939947228,4.7203153787,4.6836698507,4.7137080031,4.3685366165,3.7753563044,4.528077844,4.5299574399,4.7407643387,5.2025257365,4.5296544747,4.707495623,4.9027624409,5.2183349533,4.8851548661,4.2557924616,4.47083642,4.7230904636,4.5558018168,4.5547814748,4.6683532617,4.5246543838,4.4537948383,4.6408565834,4.6889329625,4.8877069284,5.2929085406,5.135514827,4.3410514205,4.2188784998,4.2407971403,4.2251132157,4.8561599179,4.3933614962,4.2584248633,4.3357102336,4.1165504915,4.7402675657,4.2444267987,3.7753563044,4.6326624858,4.8489825363,4.2519443807,4.5065414264,3.7753563044,4.4745624339,4.9507627732,4.4870314011,4.4754500524,4.2323166135,6.5125435842,4.1874726088,6.4000289397,4.5016390669,5.3852332178,4.5502361942,4.1132409232,4.3119584731,5.1462511021,4.8762235821,8.6686785537,4.6943470968,4.4956406479,4.8444954989,5.5807322618,4.4159627362,6.0521484833,3.7753563044,6.3724448461,4.4271622205,3.7753563044,5.298746002,5.4692865717,4.9291942844,4.2554483537,3.7753563044,6.9623456604,7.3101522991,3.7753563044,3.7753563044,3.7753563044,6.0922316069,5.0711609974,4.4367335461,4.9530461882,4.2858749742,4.2475610656,4.6502904346,5.2791161374,5.4101264915,6.6360473024,4.7055803364,3.7753563044,6.2111391131,5.1659172907,4.5729679292,4.5879693073,4.6481771106,5.781685728,4.7270275072,6.5116470344,4.1422167332,5.6758449014,4.3412341075,4.6154321667,4.0734117929,4.4623061838,4.6482537451,3.7753563044,4.7345733868,4.0853586571,5.8164348932,4.1763331826,4.9468329398,3.7753563044,4.2035425223,4.8556579892,4.3918627358,4.2441260348,6.2746163415,4.3332768632,4.2452073908,4.6947019007,6.6640819339,5.6849880915,4.1145610257,6.0311816181,4.560120022,5.5506188857,4.6271611693,4.4916136166,4.3933955043,4.7141445861,7.1453356141,4.4761593875,4.2538996379,4.1159586742,4.9293953398
ABCC3,10.3459287511,11.6993646878,10.608818564,10.8931938401,9.9275806927,10.0495639197,10.0169002555,10.7042785058,11.19133161,10.8381650224,10.9548556975,10.6015140187,10.7374945523,10.8617182092,11.0390328875,11.7915718646,10.5163756859,10.9682954092,10.6882786653,11.4293890351,10.3511393784,10.9891857975,10.1304213625,10.8919239196,11.2040429873,11.2560583596,10.5295024453,12.3473032937,10.6259671762,10.5121860507,9.6899980582,11.3219725822,10.9295163081,11.0202820764,11.2334782373,10.8422814503,10.2039364256,11.1181625076,10.7615849567,11.1188312665,11.5584688094,12.4982046352,11.0392562038,12.5099822569,11.6936905789,10.7064277008,11.4644237236,10.8767813365,9.8027423432,11.4551770406,11.8704875917,10.5074778785,10.2183738709,11.0266488598,10.4953344272,11.0530433063,11.1604061833,9.9153340414,10.5126751256,12.6706716225,12.5771568747,12.5563607283,12.5505163337,14.0130107487,14.1004973783,13.8630862762,13.2285752903,12.5364666014,12.2343319561,14.1237072116,12.8733400461,14.3909977215,12.9327679682,11.4861102897,13.6781411786,11.6756268121,14.305371697,13.710955511,14.0019767603,13.1215435475,14.6056812959,12.5410910556,14.5465800953,14.697420664,14.4258563025,14.9955975826,14.2794578399,14.4522003183,13.5027704223,12.472000067,14.4008112664,14.990089598,13.2948764235,14.4292120347,13.6830498041,10.8019396703,12.1911303406,13.4905780185,14.5171235691,11.9598677892,13.7796641658,13.7376895496,10.4683597247,13.0114763212,14.8325047509,13.209848803,13.8535652625,12.5527136757,13.9501206608,11.9882519632,13.3541881929,14.3267900103,14.5999844921,12.1400780086,14.3333843702,13.7989079188,11.7689832192,14.0128592247,12.8880776796,12.9900873584,11.0922735236,13.8200084198,14.6941863644,13.9804916674,14.2470290727,14.1184604429,12.1316530956,14.7105951411,14.3561611587,12.5072899766,14.5539069651,12.4868944283,13.1088866829,14.2710424762,13.5937926943,12.7471858688,12.096710858,12.9497390364,12.8992074032,12.4671869723,13.6808078363,15.2365880739,11.0218066566,14.0254645224,11.7067621408,11.2182348927,13.8966486573,11.7463739375
ABCG8,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,4.4124288078,3.7753563044,3.7753563044,3.7753563044,3.7753563044,4.1939947228,4.4494043921,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,4.2143136131,3.7753563044,4.1154975892,3.7753563044,4.2474658692,3.7753563044,4.5190366635,3.7753563044,4.2557924616,4.3985959546,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,4.485488684,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,3.7753563044,4.2407971403,3.7753563044,3.7753563044,4.2140092009,3.7753563044,3.7753563044,4.1165504915,3.7753563044,3.7753563044,3.7753563044,4.3859546053,3.7753563044,3.7753563044,3.7753563044,4.3706112556,3.7753563044,3.7753563044,3.7753563044,3.7753563044,4.418950536,4.0837968948,4.1874726088,4.6294076654,4.0744649274,4.0841770075,3.7753563044,4.1132409232,4.9494907004,3.7753563044,4.2613934906,4.3794409957,4.3354220287,4.4007319247,4.1044273082,3.7753563044,4.2301781394,3.7753563044,5.9104629388,3.7753563044,4.1033314476,4.6603394567,4.3539399262,4.0657166548,4.1690789549,5.479228883,4.6470047402,4.3992051859,4.0570496496,4.4903416744,4.1314049124,4.0977653008,4.2183329413,4.0429332378,4.4367335461,3.7753563044,3.7753563044,3.7753563044,3.7753563044,4.2184573012,4.2704960145,4.2177270255,4.8436177868,4.4718712898,4.2010351386,4.1910574238,4.1356820441,4.2933322573,3.7753563044,3.7753563044,3.7753563044,3.7753563044,4.2927963584,4.3861438021,3.7753563044,4.4881512139,3.7753563044,4.1212561372,5.0838484302,3.7753563044,4.4098167617,3.7753563044,3.7753563044,4.2656697515,3.7753563044,4.1433548324,3.7753563044,3.7753563044,4.1330937116,3.7753563044,3.7753563044,4.4565861309,3.7753563044,4.1559556337,4.3497394285,3.7753563044,4.2539720792,5.1924324291,4.2321361649,3.7753563044,4.1607058189,4.3972181841,4.5884091054,3.7753563044,3.7753563044,3.7753563044,4.3601290099,3.7753563044,3.7753563044
ACADL,10.9434903221,10.5523635163,9.9873587186,11.3267209068,10.6600599777,10.8476705096,10.4511502114,10.7321417287,10.7982403267,9.6662977509,9.2931864627,10.7819457143,10.5625778442,10.6377184783,9.9947059167,9.9201562527,10.4589076074,10.7725298651,11.0591445952,9.8181491854,10.6956583627,10.3666441892,11.4312268889,10.3249203178,11.1488741747,10.0851229499,9.712296333,10.5772437547,10.2838472477,10.8635065025,10.3769525721,9.9278800719,11.114491863,11.1772055011,9.9281729013,10.6107239067,9.9050235208,11.1434473028,9.5859128014,10.7017740236,10.4289847958,9.8961495363,10.2981335069,9.6488025958,10.3419724526,9.847738928,9.9214727824,10.9723190912,10.6943395605,10.2591437516,9.3067658523,10.7565406074,10.6574174043,10.9062075579,10.7502789902,9.6341069927,9.7948352719,10.6298477322,10.5746503623,9.820255288,8.5529526834,7.6085813666,8.1351890561,6.14591781,7.9524261802,8.1061028715,6.8993561459,8.5309437031,7.4923938878,5.6370956531,8.551649732,10.1179269311,8.0279552899,9.9317099606,8.9697615066,8.1945403181,10.5865274896,9.4535846587,6.5509485974,6.9452427355,5.6505863236,8.6264000412,7.8506184351,8.1512498582,8.2613165867,5.9660948928,9.3642008245,7.8604126426,8.9512037071,8.3340648702,6.3592779039,7.3704483413,6.6250455587,8.1850440178,8.0206597426,7.7271614049,7.2755785945,8.5051632913,5.6129702278,10.6691995561,7.6367399042,8.6300481304,6.0818102022,5.7181576736,7.9516673062,7.1582914396,7.5256267452,8.4002769012,6.7321719749,8.5059820015,7.262994581,7.0916558138,8.6142098766,10.4227025863,7.6857868233,7.656976095,8.5774785666,6.7593598219,6.3576834467,8.5981303181,6.8804571363,4.966002966,7.6817468687,7.0580341988,6.7797977183,7.75533681,10.1358792705,6.4285984687,6.330486685,7.7640113954,7.9869300294,9.1340579027,7.4422745972,8.9842953115,10.1119648371,8.0810704474,8.8270684715,6.4977134933,9.2487311942,8.4107796577,6.4759204443,8.4861070546,8.6663118502,7.628137071,9.8516023447,5.9446773758,8.0631069884,9.4123509925
ACHE,6.9798158281,7.2544996808,7.7137377369,7.327646873,7.3329728425,7.1010177538,6.269362668,8.5512098782,7.9525706116,9.3459692815,7.9013676815,7.8486605471,7.1687237928,7.5482661716,6.6645428953,8.3240037198,6.1790781363,7.253832219,8.1193577324,7.5226904981,7.5032955787,7.1289210555,6.581931435,7.1623839357,7.1822895995,7.5959631733,7.5187206275,8.4739020575,8.026228691,6.3152140088,6.6031441103,7.6946559628,7.7869067507,7.0877206945,7.6881863703,7.7931041234,7.1016088824,7.6768353344,7.2061627946,7.5755487671,8.3919408497,7.6596786168,6.7296967789,6.9402664892,8.4668722828,7.0457770245,6.5158326302,6.9018720007,6.508433222,6.9604566053,6.7690916749,6.9546349497,6.9349934005,7.1023381292,6.9952767259,7.7598645583,8.2155042088,6.5450584698,6.7529303989,8.0343300628,11.1293168114,10.7246982611,9.9376510026,8.3630372183,8.0206881763,6.8932104682,7.8614715553,7.6772338286,10.5943685667,9.7643038553,9.0333483704,7.4786157629,10.0692389895,7.2758016336,11.8906639334,9.3229970396,7.6289507215,8.9145256108,9.6539948327,8.9103294446,9.9137798977,11.1330766038,9.1355342651,10.0837431657,11.9210136276,10.2024275068,8.7099499432,9.9900842688,9.4905451076,7.0021217041,8.4580457014,6.6390652006,11.0869296068,10.7450516739,10.2039753803,8.0158555035,8.0934449872,8.3756210644,10.0651465512,8.4485138582,10.2329555405,9.7182301008,6.4981380567,9.3555738526,11.6762662318,8.7207562031,8.5256673295,7.1687288363,10.6466164779,10.4012182181,10.736890419,9.2780929094,7.6765792599,7.8068684963,8.5786753184,11.235026788,7.4045774291,9.2095765485,7.7412725071,8.5190906327,10.1416455687,9.720255379,9.1920611017,8.0371482748,9.5281922234,6.9718538346,9.3430726801,9.2905538617,8.1688817093,9.6962904046,7.2539785935,8.340948154,8.9108923557,9.1748730183,7.2054518624,10.3284310889,6.4526339019,9.1678845486,10.2949660368,8.7177357745,11.7180884151,8.6984037891,7.6337273087,9.2380596248,9.6617123027,8.3965951527,9.8806477525,8.6762541589
